"User"|referred_by_id
"IpWhitelistEntry"|created_by
"BlockedIpAttempt"|user_id
security_events|resolved_by
blocked_tokens|user_id
blacklisted_ips|blocked_by
"CourseChangelog"|user_id
"CourseReviewComment"|reviewer_id
course_versions|created_by
course_review_submissions|reviewer_id
course_assistants|invited_by
course_changelogs|changed_by
lesson_drip_schedules|created_by
course_availability_windows|created_by
"Affiliate"|approved_by
"AffiliateCampaign"|created_by
"AffiliatePayout"|processed_by
"AffiliateSetting"|updated_by
"AffiliateAudit"|actor_id
"OrderItem"|subject_id
"UserAdminNote"|created_by
"UserAdminNote"|updated_by
"AntiCheatFlag"|reviewer_id
